Pokemon,Generation,Color,Shape,Evolves To,Height,Weight,Sprites,Type 1,Type 2,HP,Attack,Defense,Special Attack,Special Defense,Speed
bulbasaur,generation-i,green,quadruped,ivysaur,7,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,grass,poison,45,49,49,65,65,45
charmander,generation-i,red,upright,charmeleon,6,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,fire,None,39,52,43,60,50,65
squirtle,generation-i,blue,upright,wartortle,5,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,water,None,44,48,65,50,64,43
caterpie,generation-i,green,armor,metapod,3,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,bug,None,45,30,35,20,20,45
weedle,generation-i,brown,armor,kakuna,3,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,bug,poison,40,35,30,20,20,50
pidgey,generation-i,brown,wings,pidgeotto,3,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,normal,flying,40,45,40,35,35,56
rattata,generation-i,purple,quadruped,raticate,3,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,normal,None,30,56,35,25,35,72
spearow,generation-i,brown,wings,fearow,3,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,normal,flying,40,60,30,31,31,70
ekans,generation-i,purple,squiggle,arbok,20,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,poison,None,35,60,44,40,54,55
sandshrew,generation-i,yellow,upright,sandslash,6,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,ground,None,50,75,85,20,30,40
nidoran-f,generation-i,blue,quadruped,nidorina,4,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,poison,None,55,47,52,40,40,41
nidoran-m,generation-i,purple,quadruped,nidorino,5,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,poison,None,46,57,40,40,40,50
vulpix,generation-i,brown,quadruped,ninetales,6,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,fire,None,38,41,40,50,65,65
zubat,generation-i,purple,wings,golbat,8,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,poison,flying,40,45,35,30,40,55
oddish,generation-i,blue,legs,gloom,5,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,grass,poison,45,50,55,75,65,30
paras,generation-i,red,armor,parasect,3,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,bug,grass,35,70,55,45,55,25
venonat,generation-i,purple,humanoid,venomoth,10,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,bug,poison,60,55,50,40,55,45
diglett,generation-i,brown,blob,dugtrio,2,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,ground,None,10,55,25,35,45,95
meowth,generation-i,yellow,quadruped,persian,4,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,normal,None,40,45,35,40,40,90
psyduck,generation-i,yellow,upright,golduck,8,196,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,water,None,50,52,48,65,50,55
mankey,generation-i,brown,upright,primeape,5,280,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,fighting,None,40,80,35,35,45,70
growlithe,generation-i,brown,quadruped,arcanine,7,190,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,fire,None,55,70,45,70,50,60
poliwag,generation-i,blue,legs,poliwhirl,6,124,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,water,None,40,50,40,40,40,90
abra,generation-i,brown,upright,kadabra,9,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,psychic,None,25,20,15,105,55,90
machop,generation-i,gray,upright,machoke,8,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,fighting,None,70,80,50,35,35,35
bellsprout,generation-i,green,humanoid,weepinbell,7,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,grass,poison,50,75,35,70,30,40
tentacool,generation-i,blue,tentacles,tentacruel,9,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,water,poison,40,40,35,50,100,70
geodude,generation-i,brown,arms,graveler,4,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,rock,ground,40,80,100,30,30,20
venusaur,generation-i,green,quadruped,ivysaur,20,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,grass,poison,80,82,83,100,100,80
charmeleon,generation-i,red,upright,charmeleon,11,190,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,fire,None,58,64,58,80,65,80
charizard,generation-i,red,upright,charmeleon,17,905,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,fire,flying,78,84,78,109,85,100
wartortle,generation-i,blue,upright,wartortle,10,225,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,water,None,59,63,80,65,80,58
blastoise,generation-i,blue,upright,wartortle,16,855,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,water,None,79,83,100,85,105,78
metapod,generation-i,green,squiggle,metapod,7,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,bug,None,50,20,55,25,25,30
butterfree,generation-i,white,bug-wings,metapod,11,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,bug,flying,60,45,50,90,80,70
kakuna,generation-i,yellow,squiggle,kakuna,6,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,bug,poison,45,25,50,25,25,35
beedrill,generation-i,yellow,bug-wings,kakuna,10,295,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,bug,poison,65,90,40,45,80,75
pidgeotto,generation-i,brown,wings,pidgeotto,11,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,normal,flying,63,60,55,50,50,71
pidgeot,generation-i,brown,wings,pidgeotto,15,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,normal,flying,83,80,75,70,70,101
raticate,generation-i,brown,quadruped,raticate,7,185,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,normal,None,55,81,60,50,70,97
fearow,generation-i,brown,wings,fearow,12,380,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,normal,flying,65,90,65,61,61,100
arbok,generation-i,purple,squiggle,arbok,35,650,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,poison,None,60,95,69,65,79,80
pikachu,generation-i,yellow,quadruped,pikachu,4,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,electric,None,35,55,40,50,50,90
raichu,generation-i,yellow,upright,pikachu,8,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,electric,None,60,90,55,90,80,110
sandslash,generation-i,yellow,upright,sandslash,10,295,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,ground,None,75,100,110,45,55,65
nidorina,generation-i,blue,quadruped,nidorina,8,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,poison,None,70,62,67,55,55,56
nidoqueen,generation-i,blue,upright,nidorina,13,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,poison,ground,90,92,87,75,85,76
nidorino,generation-i,purple,quadruped,nidorino,9,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,poison,None,61,72,57,55,55,65
nidoking,generation-i,purple,upright,nidorino,14,620,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,poison,ground,81,102,77,85,75,85
